id,title,description,link,product_type,google_product_category,image_link,condition,availability,sale_price,price,mpn,brand,item_group_id
1649,"Calça SK Cirrê c/ Ilhós Cós e Zíper Lateral - Verde","Calça Skinny Cirrê, com Ilhós no cós e detalhe em Zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-sk-cirre-c-ilhos-cos-e-ziper-lateral-verde/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-5.png,new,"in stock",158.00BRL,"158.00 BRL",0.00,com,1649
1651,"Calça SK Cirrê c/ Ilhós Cós e Zíper Lateral - Verde - M","Calça Skinny Cirrê, com Ilhós no cós e detalhe em Zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-sk-cirre-c-ilhos-cos-e-ziper-lateral-verde/?attribute_pa_tamanho=m,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-5.png,new,"in stock",,"158.00 BRL",0.00,com,1649
1646,"Calça SK Cirrê c/ Ilhós Cós e Zíper Lateral - Preta - P","Calça Skinny Cirrê, com Ilhós no cós e detalhe em Zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-sk-cirre-c-ilhos-e-ziper-na-lateral-preta/?attribute_pa_tamanho=p,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-2.png,new,"in stock",,"158.00 BRL",0.00,com,1645
1647,"Calça SK Cirrê c/ Ilhós Cós e Zíper Lateral - Preta - M","Calça Skinny Cirrê, com Ilhós no cós e detalhe em Zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-sk-cirre-c-ilhos-e-ziper-na-lateral-preta/?attribute_pa_tamanho=m,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-2.png,new,"in stock",,"158.00 BRL",0.00,com,1645
1645,"Calça SK Cirrê c/ Ilhós Cós e Zíper Lateral - Preta","Calça Skinny Cirrê, com Ilhós no cós e detalhe em Zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-sk-cirre-c-ilhos-e-ziper-na-lateral-preta/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-2.png,new,"in stock",158.00BRL,"158.00 BRL",0.00,com,1645
1641,"Calça Cirrê c/ Botões na Lateral - Bicolor","Calça Cirrê, com abertura em botões na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-cirre-c-botoes-na-lateral-preta-branca/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-6.png,new,"in stock",186.00BRL,"186.00 BRL",0.00,com,1641
1642,"Calça Cirrê c/ Botões na Lateral - Bicolor - P","Calça Cirrê, com abertura em botões na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-cirre-c-botoes-na-lateral-preta-branca/?attribute_pa_tamanho=p,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-6.png,new,"in stock",,"186.00 BRL",0.00,com,1641
1643,"Calça Cirrê c/ Botões na Lateral - Bicolor - M","Calça Cirrê, com abertura em botões na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-cirre-c-botoes-na-lateral-preta-branca/?attribute_pa_tamanho=m,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-6.png,new,"in stock",,"186.00 BRL",0.00,com,1641
1638,"Calça Cirrê c/ Botões na Lateral - Preta - P","Calça Cirrê, com abertura em botões na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-cirre-com-botoes-na-lateral-preta/?attribute_pa_tamanho=p,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Calça-Botões-Preta-2.png,new,"in stock",,"186.00 BRL",0.00,com,1637
1639,"Calça Cirrê c/ Botões na Lateral - Preta - M","Calça Cirrê, com abertura em botões na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-cirre-com-botoes-na-lateral-preta/?attribute_pa_tamanho=m,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Calça-Botões-Preta-2.png,new,"in stock",,"186.00 BRL",0.00,com,1637
